id,dan_toc,ten_khac,le_hoi,thoi_gian,dia_ban,y_nghia,noi_cu_tru,nhom_ngon_ngu,tin_nguong,bai_nguon,nguon,ghi_chu
dantoc-121,Mông,"Mèo, H'Mông",tết vào ngày 3 tháng 3,3 tháng 3 âm lịch,,,"Hà Giang, Yên Bái, Lào Cai, Lai Châu, Sơn La, Cao Bằng, Lạng Sơn, Nghệ An, Thanh Hóa, Hòa Bình, Bắc Thái",ngữ hệ Mông - Dao,"thờ cúng tổ tiên, ma nhà, ma cửa, ma bếp và thờ chung thổ thần của bản",dan-toc-mong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-17c3d7,"Nhật Nguyệt, rút từ bài dan-toc-mong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-17c3d7",
dantoc-122,Mường,,lễ nhóm lửa,,,Nghi lễ thể hiện sự coi trọng thần bếp trong đời sống của người Mường,"Hòa Bình, Thanh Hóa, Phú Thọ","Nhóm Việt - Mường, ngữ hệ Nam Á",Đời sống tâm linh gắn chặt với vai trò của thầy mo; thờ cúng thần bếp,dan-toc-muong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-eeee00,"Nhật Nguyệt, rút từ bài dan-toc-muong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-eeee00",
dantoc-123,Mường,,tế quạt ma,,,Nghi lễ trong tang lễ của người Mường,"Hòa Bình, Thanh Hóa, Phú Thọ","Nhóm Việt - Mường, ngữ hệ Nam Á",Đời sống tâm linh gắn chặt với vai trò của thầy mo; thờ cúng thần bếp,dan-toc-muong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-eeee00,"Nhật Nguyệt, rút từ bài dan-toc-muong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-eeee00",
dantoc-124,Mạ,,lễ đâm trâu,khi kết thúc mùa rẫy,,"Lễ hiến sinh lớn nhất, tế thần linh","Tây Nguyên, tập trung trên các cao nguyên Bảo Lộc, Di Linh, Đạ Tẻ và lưu vực sông Đồng Nai, thuộc địa phận tỉnh Lâm Đồng; cũng có mặt ở Đồng Nai","Nhóm ngôn ngữ Môn - Khơ Me, trong ngữ hệ Nam Á","Tin có thần, gọi chung là Yang; thờ cúng nhiều Yang khác nhau, trong đó có Yang Hiu (thần nhà), Yang Koi (thần lúa) và Yang Bơnơm (thần núi)",dan-toc-ma-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-75dfaa,"Nhật Nguyệt, rút từ bài dan-toc-ma-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-75dfaa",
dantoc-125,Mảng,,Lễ mừng nhà mới,,,"Ngày vui của cả bản, gồm nhiều nghi lễ phức tạp thể hiện đặc trưng tộc người","Chủ yếu ở tỉnh Lai Châu, tập trung ở vùng Nặm Ban thuộc xã Nặm Ban, huyện Sìn Hồ","Nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","Thờ ma nhà, ma Đẳm (tổ tiên và dòng họ), ma bản; quan niệm vũ trụ bốn tầng",dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1,"Nhật Nguyệt, rút từ bài dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1",
dantoc-126,Mảng,,cúng hồn lúa,,,,"Chủ yếu ở tỉnh Lai Châu, tập trung ở vùng Nặm Ban thuộc xã Nặm Ban, huyện Sìn Hồ","Nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","Thờ ma nhà, ma Đẳm (tổ tiên và dòng họ), ma bản; quan niệm vũ trụ bốn tầng",dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1,"Nhật Nguyệt, rút từ bài dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1",
dantoc-127,Mảng,,cúng mẹ lúa,,,,"Chủ yếu ở tỉnh Lai Châu, tập trung ở vùng Nặm Ban thuộc xã Nặm Ban, huyện Sìn Hồ","Nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","Thờ ma nhà, ma Đẳm (tổ tiên và dòng họ), ma bản; quan niệm vũ trụ bốn tầng",dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1,"Nhật Nguyệt, rút từ bài dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1",
dantoc-128,Mảng,,cúng sau vụ thu hoạch,,,,"Chủ yếu ở tỉnh Lai Châu, tập trung ở vùng Nặm Ban thuộc xã Nặm Ban, huyện Sìn Hồ","Nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","Thờ ma nhà, ma Đẳm (tổ tiên và dòng họ), ma bản; quan niệm vũ trụ bốn tầng",dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1,"Nhật Nguyệt, rút từ bài dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1",
dantoc-129,Mảng,,lễ gieo nương,,,,"Chủ yếu ở tỉnh Lai Châu, tập trung ở vùng Nặm Ban thuộc xã Nặm Ban, huyện Sìn Hồ","Nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","Thờ ma nhà, ma Đẳm (tổ tiên và dòng họ), ma bản; quan niệm vũ trụ bốn tầng",dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1,"Nhật Nguyệt, rút từ bài dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1",
dantoc-130,Mảng,,tết Cơm mới,sau vụ gặt tháng 10 âm lịch,,Dịp quan trọng để cộng đồng tạ ơn và cầu mong mùa màng tiếp theo,"Chủ yếu ở tỉnh Lai Châu, tập trung ở vùng Nặm Ban thuộc xã Nặm Ban, huyện Sìn Hồ","Nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","Thờ ma nhà, ma Đẳm (tổ tiên và dòng họ), ma bản; quan niệm vũ trụ bốn tầng",dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1,"Nhật Nguyệt, rút từ bài dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1",
dantoc-131,Mảng,,tết Nguyên đán,,,,"Chủ yếu ở tỉnh Lai Châu, tập trung ở vùng Nặm Ban thuộc xã Nặm Ban, huyện Sìn Hồ","Nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","Thờ ma nhà, ma Đẳm (tổ tiên và dòng họ), ma bản; quan niệm vũ trụ bốn tầng",dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1,"Nhật Nguyệt, rút từ bài dan-toc-mang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84c4f1",
dantoc-132,Ngái,,Hàn thực,3-3 âm lịch,,,"Quảng Ninh, Hải Phòng, Bắc Giang, Cao Bằng, Lạng Sơn, Thành phố Hồ Chí Minh","nhóm ngôn ngữ Hán, trong ngữ hệ Hán - Tạng","Thờ cúng tổ tiên, thần, Phật, ma rừng và vong hồn thập loại chúng sinh",dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9,"Nhật Nguyệt, rút từ bài dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9",
dantoc-133,Ngái,,Tết Nguyên đán,đầu mỗi năm mới,,,"Quảng Ninh, Hải Phòng, Bắc Giang, Cao Bằng, Lạng Sơn, Thành phố Hồ Chí Minh","nhóm ngôn ngữ Hán, trong ngữ hệ Hán - Tạng","Thờ cúng tổ tiên, thần, Phật, ma rừng và vong hồn thập loại chúng sinh",dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9,"Nhật Nguyệt, rút từ bài dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9",
dantoc-134,Ngái,,Vu lan,15-7 âm lịch,,,"Quảng Ninh, Hải Phòng, Bắc Giang, Cao Bằng, Lạng Sơn, Thành phố Hồ Chí Minh","nhóm ngôn ngữ Hán, trong ngữ hệ Hán - Tạng","Thờ cúng tổ tiên, thần, Phật, ma rừng và vong hồn thập loại chúng sinh",dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9,"Nhật Nguyệt, rút từ bài dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9",
dantoc-135,Ngái,,cơm mới,10-10 âm lịch,,,"Quảng Ninh, Hải Phòng, Bắc Giang, Cao Bằng, Lạng Sơn, Thành phố Hồ Chí Minh","nhóm ngôn ngữ Hán, trong ngữ hệ Hán - Tạng","Thờ cúng tổ tiên, thần, Phật, ma rừng và vong hồn thập loại chúng sinh",dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9,"Nhật Nguyệt, rút từ bài dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9",
dantoc-136,Ngái,,Đoan ngọ,5-5 âm lịch,,,"Quảng Ninh, Hải Phòng, Bắc Giang, Cao Bằng, Lạng Sơn, Thành phố Hồ Chí Minh","nhóm ngôn ngữ Hán, trong ngữ hệ Hán - Tạng","Thờ cúng tổ tiên, thần, Phật, ma rừng và vong hồn thập loại chúng sinh",dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9,"Nhật Nguyệt, rút từ bài dan-toc-ngai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4929c9",
dantoc-137,Nùng,,,,,,"Chủ yếu ở các tỉnh Đông Bắc nước ta, thường sống xen kẽ với người Tày. Địa bàn tập trung gồm Cao Bằng, Lạng Sơn, Bắc Thái, Hà Giang, Tuyên Quang, Hà Bắc, Quảng Ninh, cùng một số địa phương phía nam như Thành phố Hồ Chí Minh, Lâm Đồng, Đắc Lắc, Lào Cai.","Nhóm ngôn ngữ Tày - Thái, ngữ hệ Thái - Ka Đai",Thờ tổ tiên là chính,dan-toc-nung-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b82b92,"Nhật Nguyệt, rút từ bài dan-toc-nung-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b82b92","bài không nhắc tên lễ hội nào, dòng này chỉ mang phần chung của dân tộc"
dantoc-138,Phù Lá,,Lễ cúng bản,Tháng hai hằng năm,,Lễ chung của cộng đồng bản,"Hà Giang, Lào Cai, Yên Bái và Lai Châu","nhóm ngôn ngữ Tạng Miến, trong ngữ hệ Hán - Tạng","thờ riêng tổ tiên nam và tổ tiên nữ; tổ tiên nam phù hộ cho sức khỏe, tổ tiên nữ phù hộ cho mùa màng",dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd,"Nhật Nguyệt, rút từ bài dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd",
dantoc-139,Phù Lá,,Lễ cơm mới,Mùa thu hoạch,,"Cúng ở nơi thờ tổ tiên nữ, do phụ nữ đại diện, nữ giới ăn cơm trước","Hà Giang, Lào Cai, Yên Bái và Lai Châu","nhóm ngôn ngữ Tạng Miến, trong ngữ hệ Hán - Tạng","thờ riêng tổ tiên nam và tổ tiên nữ; tổ tiên nam phù hộ cho sức khỏe, tổ tiên nữ phù hộ cho mùa màng",dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd,"Nhật Nguyệt, rút từ bài dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd",
dantoc-140,Phù Lá,,Tết Nguyên đán,Đầu năm âm lịch,,"Dịp Tết lớn nhất, cũng là thời điểm dạy thầy cúng theo truyền khẩu","Hà Giang, Lào Cai, Yên Bái và Lai Châu","nhóm ngôn ngữ Tạng Miến, trong ngữ hệ Hán - Tạng","thờ riêng tổ tiên nam và tổ tiên nữ; tổ tiên nam phù hộ cho sức khỏe, tổ tiên nữ phù hộ cho mùa màng",dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd,"Nhật Nguyệt, rút từ bài dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd",
dantoc-141,Phù Lá,,Tết tháng bảy,Tháng bảy âm lịch,,"Dịp Tết gắn với mùa vụ, cũng là thời điểm dạy thầy cúng","Hà Giang, Lào Cai, Yên Bái và Lai Châu","nhóm ngôn ngữ Tạng Miến, trong ngữ hệ Hán - Tạng","thờ riêng tổ tiên nam và tổ tiên nữ; tổ tiên nam phù hộ cho sức khỏe, tổ tiên nữ phù hộ cho mùa màng",dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd,"Nhật Nguyệt, rút từ bài dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd",
dantoc-142,Phù Lá,,Tết tháng năm,Tháng năm âm lịch,,Một trong các Tết chính của người Phù Lá,"Hà Giang, Lào Cai, Yên Bái và Lai Châu","nhóm ngôn ngữ Tạng Miến, trong ngữ hệ Hán - Tạng","thờ riêng tổ tiên nam và tổ tiên nữ; tổ tiên nam phù hộ cho sức khỏe, tổ tiên nữ phù hộ cho mùa màng",dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd,"Nhật Nguyệt, rút từ bài dan-toc-phu-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e471fd",
dantoc-143,Pu Péo,,Tết Nguyên đán,"đêm 29, đêm 30, sáng mồng một, trong ba ngày tết",,"lễ tết chính, tiễn năm cũ và mừng năm mới, cúng tổ tiên","huyện Đồng Văn, tỉnh Hà Giang","nhóm Ka Đai, trong ngữ hệ Thái - Ka Đai","thờ tổ tiên ba đời bằng hũ sành, tin mỗi người có 8 hồn, chín vía",dan-toc-pu-peo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-cb58a6,"Nhật Nguyệt, rút từ bài dan-toc-pu-peo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-cb58a6",
dantoc-144,Pu Péo,,lễ gọi hồn,đêm 30 Tết Nguyên đán,,gọi hồn cho từng thành viên trong nhà,"huyện Đồng Văn, tỉnh Hà Giang","nhóm Ka Đai, trong ngữ hệ Thái - Ka Đai","thờ tổ tiên ba đời bằng hũ sành, tin mỗi người có 8 hồn, chín vía",dan-toc-pu-peo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-cb58a6,"Nhật Nguyệt, rút từ bài dan-toc-pu-peo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-cb58a6",
dantoc-145,Pu Péo,,lễ làm chay,vài năm sau khi chôn,,cúng đưa hồn người chết về quê cũ,"huyện Đồng Văn, tỉnh Hà Giang","nhóm Ka Đai, trong ngữ hệ Thái - Ka Đai","thờ tổ tiên ba đời bằng hũ sành, tin mỗi người có 8 hồn, chín vía",dan-toc-pu-peo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-cb58a6,"Nhật Nguyệt, rút từ bài dan-toc-pu-peo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-cb58a6",
dantoc-146,Pu Péo,,lễ làm ma,,,,"huyện Đồng Văn, tỉnh Hà Giang","nhóm Ka Đai, trong ngữ hệ Thái - Ka Đai","thờ tổ tiên ba đời bằng hũ sành, tin mỗi người có 8 hồn, chín vía",dan-toc-pu-peo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-cb58a6,"Nhật Nguyệt, rút từ bài dan-toc-pu-peo-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-cb58a6",
dantoc-147,Pà Thẻn,,cúng trước khi tra hạt,,,,Hà Giang và Tuyên Quang,Hmông-Dao,"Chủ yếu là thờ cúng tổ tiên trong nhà, cùng các tín ngưỡng liên quan đến nông nghiệp",dan-toc-pa-then-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d4fdbd,"Nhật Nguyệt, rút từ bài dan-toc-pa-then-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d4fdbd",
dantoc-148,Pà Thẻn,,lễ cơm mới,,,,Hà Giang và Tuyên Quang,Hmông-Dao,"Chủ yếu là thờ cúng tổ tiên trong nhà, cùng các tín ngưỡng liên quan đến nông nghiệp",dan-toc-pa-then-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d4fdbd,"Nhật Nguyệt, rút từ bài dan-toc-pa-then-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d4fdbd",
dantoc-149,Pà Thẻn,,lễ cầu mưa,,,,Hà Giang và Tuyên Quang,Hmông-Dao,"Chủ yếu là thờ cúng tổ tiên trong nhà, cùng các tín ngưỡng liên quan đến nông nghiệp",dan-toc-pa-then-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d4fdbd,"Nhật Nguyệt, rút từ bài dan-toc-pa-then-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d4fdbd",
dantoc-150,Pà Thẻn,,tết nguyên đán,,,,Hà Giang và Tuyên Quang,Hmông-Dao,"Chủ yếu là thờ cúng tổ tiên trong nhà, cùng các tín ngưỡng liên quan đến nông nghiệp",dan-toc-pa-then-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d4fdbd,"Nhật Nguyệt, rút từ bài dan-toc-pa-then-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d4fdbd",
dantoc-151,Ra Glai,,lễ bỏ mả,khi có đủ điều kiện về kinh tế,,,"vùng núi và thung lũng có độ cao từ 500 đến 1000 mét, tập trung ở các huyện Ninh Sơn (Ninh Thuận), Bắc Bình (Bình Thuận) và một số nơi thuộc Phú Yên, Khánh Hoà, Lâm Đồng","nhóm ngôn ngữ Malayô-Pôlynêxia, ngữ hệ Nam Đảo","tin vào thế giới thần linh, vong linh người chết và sự linh hoá của các loại thú vật; hàng năm thường xuyên diễn ra các nghi lễ cúng bái với việc hiến tế để mong thần linh giúp đỡ",dan-toc-ra-glai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0fabd5,"Nhật Nguyệt, rút từ bài dan-toc-ra-glai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0fabd5",
dantoc-152,Ra Glai,,lễ mừng thu hoạch,khoảng tháng 1 đến tháng 2 dương lịch,,,"vùng núi và thung lũng có độ cao từ 500 đến 1000 mét, tập trung ở các huyện Ninh Sơn (Ninh Thuận), Bắc Bình (Bình Thuận) và một số nơi thuộc Phú Yên, Khánh Hoà, Lâm Đồng","nhóm ngôn ngữ Malayô-Pôlynêxia, ngữ hệ Nam Đảo","tin vào thế giới thần linh, vong linh người chết và sự linh hoá của các loại thú vật; hàng năm thường xuyên diễn ra các nghi lễ cúng bái với việc hiến tế để mong thần linh giúp đỡ",dan-toc-ra-glai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0fabd5,"Nhật Nguyệt, rút từ bài dan-toc-ra-glai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0fabd5",
dantoc-153,Rơ Măm,,lễ bỏ mả,sau lễ mừng lúa mới,,,"làng Le, xã Mo Rai, huyện Sa Thầy, tỉnh Kon Tum","nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","vạn vật hữu linh, thờ cúng thần lúa và các lực lượng siêu nhiên, hiến tế gà, lợn hoặc trâu",dan-toc-ro-mam-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ddc113,"Nhật Nguyệt, rút từ bài dan-toc-ro-mam-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ddc113",
dantoc-154,Rơ Măm,,lễ mừng lúa mới,sau khi thu hoạch mùa rẫy,,"dịp cộng đồng quây quần, chia sẻ thành quả lao động sau một vụ mùa","làng Le, xã Mo Rai, huyện Sa Thầy, tỉnh Kon Tum","nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","vạn vật hữu linh, thờ cúng thần lúa và các lực lượng siêu nhiên, hiến tế gà, lợn hoặc trâu",dan-toc-ro-mam-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ddc113,"Nhật Nguyệt, rút từ bài dan-toc-ro-mam-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ddc113",
dantoc-155,Rơ Măm,,lễ đâm trâu,,,,"làng Le, xã Mo Rai, huyện Sa Thầy, tỉnh Kon Tum","nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","vạn vật hữu linh, thờ cúng thần lúa và các lực lượng siêu nhiên, hiến tế gà, lợn hoặc trâu",dan-toc-ro-mam-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ddc113,"Nhật Nguyệt, rút từ bài dan-toc-ro-mam-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-ddc113",
dantoc-156,Si La,,Lễ cúng bàn,,,"cầu mong cả bản không ốm đau, bệnh tật, lợn gà không bị thú rừng bắt trong năm","Vài ba bản ở huyện Mường Tè, tỉnh Lai Châu","Tạng Miến, gần với tiếng Miến hơn","Thờ cúng tổ tiên; con cái thờ bố mẹ đã mất, thờ tổ tiên từ đời ông trở lên do người trưởng họ đảm nhận",dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8,"Nhật Nguyệt, rút từ bài dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8",
dantoc-157,Si La,,lễ cúng hồn lúa,Cứ 7 năm,,,"Vài ba bản ở huyện Mường Tè, tỉnh Lai Châu","Tạng Miến, gần với tiếng Miến hơn","Thờ cúng tổ tiên; con cái thờ bố mẹ đã mất, thờ tổ tiên từ đời ông trở lên do người trưởng họ đảm nhận",dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8,"Nhật Nguyệt, rút từ bài dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8",
dantoc-158,Si La,,lễ cúng tổ tiên chung,"Hàng năm vào hai kỳ, tết năm mới và tết cơm mới",tại nhà người trưởng họ,,"Vài ba bản ở huyện Mường Tè, tỉnh Lai Châu","Tạng Miến, gần với tiếng Miến hơn","Thờ cúng tổ tiên; con cái thờ bố mẹ đã mất, thờ tổ tiên từ đời ông trở lên do người trưởng họ đảm nhận",dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8,"Nhật Nguyệt, rút từ bài dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8",
dantoc-159,Si La,,tết cơm mới,,,,"Vài ba bản ở huyện Mường Tè, tỉnh Lai Châu","Tạng Miến, gần với tiếng Miến hơn","Thờ cúng tổ tiên; con cái thờ bố mẹ đã mất, thờ tổ tiên từ đời ông trở lên do người trưởng họ đảm nhận",dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8,"Nhật Nguyệt, rút từ bài dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8",
dantoc-160,Si La,,tết năm mới,đầu tháng 12 âm lịch,,,"Vài ba bản ở huyện Mường Tè, tỉnh Lai Châu","Tạng Miến, gần với tiếng Miến hơn","Thờ cúng tổ tiên; con cái thờ bố mẹ đã mất, thờ tổ tiên từ đời ông trở lên do người trưởng họ đảm nhận",dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8,"Nhật Nguyệt, rút từ bài dan-toc-si-la-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-6a45f8",
dantoc-161,"Sán Chay (Cao Lan, Sán Chỉ)",,,,,,"Các tỉnh Đông Bắc: Bắc Thái, Tuyên Quang, Quảng Ninh, Hà Bắc, Lạng Sơn, Vĩnh Phú, Yên Bái","Cao Lan: nhóm Tày, Thái; Sán Chỉ: nhóm Hán","Thờ cúng tổ tiên, trời đất, thổ công, bà mụ, thần nông, thần chăn nuôi; phổ biến nhất là thờ Ngọc Hoàng, Phật Nam Hoa và Táo Quân",dan-toc-san-chay-cao-lan-san-chi-5da9bc,"Nhật Nguyệt, rút từ bài dan-toc-san-chay-cao-lan-san-chi-5da9bc","bài không nhắc tên lễ hội nào, dòng này chỉ mang phần chung của dân tộc"
dantoc-162,Sán Dìu,,khai hoa tửu,"tại nhà gái, trước hôm cô dâu về nhà chồng",nhà gái,uống mừng hạnh phúc cô dâu chú rể,"vùng trung du Bắc Bộ, trong khu vực từ tả ngạn sông Hồng đổ về phía Đông",ngữ hệ Hán Tạng,"thờ cúng tổ tiên, pháp sư và táo quân trên bàn thờ; thờ thổ thần ở miếu và thờ thành hoàng ở đình",dan-toc-san-diu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-389b51,"Nhật Nguyệt, rút từ bài dan-toc-san-diu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-389b51",
dantoc-163,Sán Dìu,,lên nhà mới,khi làm nhà xong,,khởi đầu cuộc sống ở nhà mới,"vùng trung du Bắc Bộ, trong khu vực từ tả ngạn sông Hồng đổ về phía Đông",ngữ hệ Hán Tạng,"thờ cúng tổ tiên, pháp sư và táo quân trên bàn thờ; thờ thổ thần ở miếu và thờ thành hoàng ở đình",dan-toc-san-diu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-389b51,"Nhật Nguyệt, rút từ bài dan-toc-san-diu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-389b51",
dantoc-164,Sán Dìu,,soọng cô,"về đêm, có những cuộc hát kéo dài suốt nhiều đêm",,hát giao duyên nam nữ,"vùng trung du Bắc Bộ, trong khu vực từ tả ngạn sông Hồng đổ về phía Đông",ngữ hệ Hán Tạng,"thờ cúng tổ tiên, pháp sư và táo quân trên bàn thờ; thờ thổ thần ở miếu và thờ thành hoàng ở đình",dan-toc-san-diu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-389b51,"Nhật Nguyệt, rút từ bài dan-toc-san-diu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-389b51",
dantoc-165,Sán Dìu,,tết Đông chí,dịp tết Đông chí,,cầu mong con đàn cháu đống,"vùng trung du Bắc Bộ, trong khu vực từ tả ngạn sông Hồng đổ về phía Đông",ngữ hệ Hán Tạng,"thờ cúng tổ tiên, pháp sư và táo quân trên bàn thờ; thờ thổ thần ở miếu và thờ thành hoàng ở đình",dan-toc-san-diu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-389b51,"Nhật Nguyệt, rút từ bài dan-toc-san-diu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-389b51",
